trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.99, 'e': 0.17752252675876343}",20,16,7.951147685861163,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.99, 'e': 0.1757473014911758}",30,15,23.29151421794773,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.99, 'e': 0.17398982847626404}",20,12,16.802043739082418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.99, 'e': 0.1722499301915014}",20,1,29.74766605294595,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.99, 'e': 0.17052743088958636}",25,9,28.644122330560958,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.99, 'e': 0.1688221565806905}",20,7,25.768874380235133,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.99, 'e': 0.1671339350148836}",25,7,30.23045291523059,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.99, 'e': 0.16546259566473476}",30,0,47.039265495918436,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.99, 'e': 0.16380796970808742}",30,13,27.74957850713369,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.99, 'e': 0.16216989001100654}",20,4,29.134908704012375,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.99, 'e': 0.16054819111089647}",20,0,33.71452249077035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.99, 'e': 0.1589427091997875}",20,6,28.156236548133606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.99, 'e': 0.15735328210778962}",35,15,34.01000013895568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.99, 'e': 0.15577974928671173}",20,8,19.554174090168694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.99, 'e': 0.15422195179384462}",35,21,29.639381083493863,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.99, 'e': 0.15267973227590617}",30,16,25.490147493349678,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.99, 'e': 0.1511529349531471}",20,10,18.487879163512126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.99, 'e': 0.14964140560361563}",30,19,18.591884941859472,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
